City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
283,Sao Filipe,CV,79.97,overcast clouds,14.9,-24.5,Tortuga B&B
289,Teluk Nibung,ID,78.71,overcast clouds,3.0,99.82,PONDOK FELISHA JUICE
292,Salalah,OM,80.6,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
293,Saint-Pierre,RE,77.0,overcast clouds,-21.34,55.48,Lindsey Hôtel
301,Mar Del Plata,AR,75.2,few clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
307,Santiago,CL,89.01,clear sky,-33.46,-70.65,Hotel Panamericano
308,Faanui,PF,78.82,clear sky,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
311,Panubigan,PH,76.41,overcast clouds,7.43,123.35,Parish Beach
325,Silca,HN,80.6,scattered clouds,14.83,-86.53,"Hotel Plaza Maya, Salamá, Olancho"
326,Kampot,KH,78.8,scattered clouds,10.62,104.18,Champa Lodge
327,Omboue,GA,79.21,overcast clouds,-1.57,9.26,Hotel Olako
329,Sorong,ID,80.4,overcast clouds,-0.88,131.25,The Waigo Hotel
335,Lilongwe,MW,87.8,clear sky,-13.97,33.79,Spendwise furnished apartments.
341,Lodwar,KE,89.19,overcast clouds,3.12,35.6,Turkwel Lodge
345,Maua,BR,77.0,clear sky,-23.67,-46.46,Hotel Capriccio Mauá
346,Sabang,ID,79.9,light rain,5.89,95.32,Hotel Citra
348,Martapura,ID,75.54,overcast clouds,-3.42,114.85,Montana Hotel Syariah
349,Tucuman,AR,84.2,clear sky,-26.82,-65.22,Dallas Hotel Tucuman
350,Carutapera,BR,89.6,scattered clouds,-1.2,-46.02,Lidera
355,Vallenar,CL,78.51,clear sky,-28.57,-70.76,Humacao Bed & Breakfast
356,Arlit,NE,87.17,clear sky,18.74,7.39,Hôtel Telwa Bungalow
364,Axim,GH,81.54,light rain,4.87,-2.24,AXIM BEACH RESORT AND SPA
367,Mount Isa,AU,80.6,broken clouds,-20.73,139.5,ibis Styles Mt Isa Verona
373,Itarema,BR,87.66,broken clouds,-2.92,-39.92,Windvillage
379,Jaggayyapeta,IN,76.23,scattered clouds,16.9,80.1,A P S Resorts & Hotels Pvt Ltd
385,Domoni,KM,79.25,broken clouds,-12.26,44.53,Loulou
387,Songea,TZ,77.67,clear sky,-10.68,35.65,mtakuja
388,Marang,MY,80.6,moderate rain,5.21,103.21,DBarakah Homestay
400,Puerto Cabello,VE,81.09,few clouds,10.47,-68.01,Hotel Cumboto
401,Najran,SA,82.4,few clouds,17.49,44.13,محمد هادي ال فطيح
409,Rock Sound,BS,80.58,overcast clouds,24.9,-76.2,Rock Sound Club
411,Yeppoon,AU,75.2,broken clouds,-23.13,150.73,Villa Mar Colina
416,Praia,CV,87.8,few clouds,14.92,-23.51,LT Aparthotel
419,Tomatlan,MX,83.91,scattered clouds,19.93,-105.25,Norma franco
421,Inhambane,MZ,82.4,clear sky,-23.86,35.38,Oceano
425,Hirara,JP,78.37,clear sky,24.8,125.28,Hotel Atoll Emerald Miyakojima
426,Ixtapa,MX,80.01,clear sky,20.7,-105.2,Container Inn Puerto Vallarta
430,Mbandaka,CD,79.75,scattered clouds,0.05,18.26,Guest House Epervier
431,Yulara,AU,78.8,scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
439,Canguaretama,BR,87.8,few clouds,-6.38,-35.13,Pousada do Italiano
441,Bandarbeyla,SO,76.86,broken clouds,9.49,50.81,REER XOOSHLE GROUP
447,Buchanan,LR,87.8,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
450,Vega De Alatorre,MX,79.2,scattered clouds,20.03,-96.63,Hotel Deluxe
451,Pandan,PH,81.16,overcast clouds,14.05,124.17,Bonifacio Lodge
452,Hambantota,LK,77.0,few clouds,6.12,81.12,Bungalow 63
453,Tandil,AR,78.01,clear sky,-37.32,-59.13,HOSTAL DE LA SIERRA TANDIL
454,Auki,SB,77.74,broken clouds,-8.77,160.7,Auki Motel
460,Ko Samui,TH,83.23,clear sky,9.54,99.94,"The Passage Samui Villas & Resort, Thailand"
462,Mormugao,IN,81.34,light rain,15.4,73.8,Coconut Creek Resort
464,Port Blair,IN,81.68,clear sky,11.67,92.75,Fortune Resort Bay Island
468,Morondava,MG,81.3,clear sky,-20.28,44.28,La Case Bambou
469,Mitsamiouli,KM,80.62,scattered clouds,-11.38,43.28,Foyer ADM
473,Bubaque,GW,87.53,clear sky,11.28,-15.83,"Casa Dora, Bubaque"
474,Takoradi,GH,82.35,light rain,4.88,-1.76,Raybow International Hotel
481,Karratha,AU,75.79,clear sky,-20.74,116.85,ibis Styles Karratha
488,Tecoanapa,MX,85.46,scattered clouds,16.52,-98.75,Hotel Manglares
489,Santa Maria,BR,80.6,clear sky,-29.68,-53.81,Hotel Morotin
490,Mango,US,84.99,broken clouds,27.98,-82.31,Embassy Suites by Hilton Tampa Brandon - OPEN
496,Touros,BR,87.8,scattered clouds,-5.2,-35.46,INN NEW HORIZON
500,Mpika,ZM,77.25,few clouds,-11.83,31.45,Melodies Lodge
503,Chazuta,PE,86.0,scattered clouds,-6.57,-76.14,Fundo El Porvenir
505,Amahai,ID,81.0,few clouds,-3.33,128.92,Peternakan Ayam Bangkok Manisso
509,Buraydah,SA,84.2,broken clouds,26.33,43.98,Mövenpick Hotel Qassim
513,Quibdo,CO,83.25,overcast clouds,5.69,-76.66,Hotel Angeles
516,Champerico,GT,77.0,broken clouds,14.3,-91.92,"Hotel y restaurante ""El Diamante"""
519,Sam Roi Yot,TH,76.46,scattered clouds,12.27,99.87,ซีบรีชรีสอร์ท สามร้อยยอด
521,Lorengau,PG,81.14,clear sky,-2.02,147.27,Lorengau Harbourside Hotel
528,Ta Khmau,KH,80.6,heavy intensity rain,11.48,104.95,Tra Ny Ka Hotel & Restaurant
533,Wamba,NG,87.03,overcast clouds,8.93,8.6,Roma Zee Guest House Annex
534,Gigmoto,PH,81.21,overcast clouds,13.78,124.39,Cj's Travellers Inn
537,Vanimo,PG,76.42,overcast clouds,-2.67,141.3,Vahmoneh Lodge Vanimo
