City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
83,Djougou,BJ,9.71,1.67,91.4,21,79,2.24,broken clouds
84,Kodiak,US,57.79,-152.41,33.8,86,90,4.7,overcast clouds
85,Maldonado,UY,-34.67,-54.92,70.0,73,40,13.87,scattered clouds
86,Sarkand,KZ,45.41,79.92,48.04,38,0,5.57,clear sky
87,Upernavik,GL,72.79,-56.15,-2.99,76,20,6.93,few clouds
88,Burns Lake,CA,54.23,-125.75,19.4,85,51,3.36,broken clouds
89,Matara,LK,5.95,80.54,79.18,86,23,5.75,few clouds
90,Alice Springs,AU,-23.7,133.88,68.0,15,0,3.36,clear sky
91,Montijo,PT,38.71,-8.97,66.2,72,20,16.11,shower rain
92,Portobelo,PA,9.55,-79.65,86.0,74,40,12.75,scattered clouds
93,San Patricio,US,28.02,-97.52,75.0,88,40,8.05,scattered clouds
94,Lamu,KE,-2.27,40.9,84.2,70,1,6.93,clear sky
95,Kruisfontein,ZA,-34.0,24.73,72.0,53,30,4.0,scattered clouds
96,Sitka,US,57.05,-135.33,30.06,93,39,3.15,scattered clouds
97,Ushuaia,AR,-54.8,-68.3,59.0,47,75,19.46,broken clouds
98,Yarkovo,RU,57.4,67.08,36.16,93,100,7.7,overcast clouds
99,Deputatskiy,RU,69.3,139.9,-8.41,90,88,2.8,overcast clouds
100,Kristiansund,NO,63.11,7.73,44.6,87,75,8.05,drizzle
101,Kutum,SD,14.2,24.67,76.68,20,27,11.25,scattered clouds
102,Diffa,NE,13.32,12.61,85.46,15,39,10.02,scattered clouds
103,Awbari,LY,26.59,12.78,69.44,34,98,6.46,overcast clouds
104,Srednekolymsk,RU,67.45,153.68,-4.88,92,100,9.73,overcast clouds
105,Lompoc,US,34.64,-120.46,51.8,81,75,11.41,broken clouds
106,Fortuna,US,40.6,-124.16,48.0,93,75,10.29,broken clouds
107,Bilibino,RU,68.05,166.44,-1.62,88,83,1.9,broken clouds
108,Luganville,VU,-15.53,167.17,80.6,88,75,7.34,broken clouds
109,Aripuana,BR,-9.17,-60.63,97.5,36,83,5.21,broken clouds
110,Solano,US,38.23,-121.95,46.99,80,75,5.82,broken clouds
111,Chinhoyi,ZW,-17.37,30.2,86.38,27,70,2.55,broken clouds
112,Zaigrayevo,RU,51.83,108.27,15.8,78,40,2.24,mist
113,Makokou,GA,0.57,12.86,77.0,83,90,0.92,overcast clouds
114,Thompson,CA,55.74,-97.86,14.0,92,90,2.57,light snow
115,Monrovia,LR,6.3,-10.8,87.8,70,75,7.45,broken clouds
116,Charters Towers,AU,-20.1,146.27,73.63,76,39,15.21,scattered clouds
117,Korla,CN,41.76,86.15,39.43,60,0,3.36,clear sky
118,Cayenne,GF,4.93,-52.33,89.6,59,75,6.93,broken clouds
119,Nikolskoye,RU,59.7,30.79,48.99,76,0,6.71,clear sky
120,Amapa,BR,1.0,-52.0,82.35,87,41,5.79,scattered clouds
121,Chifeng,CN,42.27,118.96,27.86,63,0,8.9,clear sky
122,De Aar,ZA,-30.65,24.01,76.53,22,0,26.35,clear sky
123,Salvacion,PH,7.98,126.13,73.47,94,100,0.92,light rain
124,Rosarito,MX,32.33,-117.03,62.01,87,90,11.41,heavy intensity rain
125,Daru,PG,-9.08,143.21,78.53,87,83,4.14,light rain
126,Marawi,PH,8.0,124.29,73.99,91,100,3.0,moderate rain
127,Nalut,LY,30.33,10.85,71.29,27,0,8.43,clear sky
128,Burnie,AU,-41.07,145.92,48.0,70,0,4.0,clear sky
129,Viedma,AR,-40.81,-63.0,73.0,43,65,4.0,broken clouds
130,Lagoa,PT,39.05,-27.98,61.27,71,3,19.95,clear sky
131,Ardino,BG,41.58,25.13,55.99,66,73,3.36,broken clouds
132,Hilo,US,19.73,-155.09,71.6,88,90,4.7,heavy intensity rain
133,Arraial Do Cabo,BR,-22.97,-42.03,73.4,78,75,5.82,broken clouds
134,Port Elizabeth,ZA,-33.92,25.57,71.6,68,0,10.29,clear sky
135,Kangaatsiaq,GL,68.31,-53.46,16.36,84,97,8.12,overcast clouds
136,Praia Da Vitoria,PT,38.73,-27.07,64.0,87,75,21.54,broken clouds
137,Geraldton,AU,-28.77,114.6,68.0,82,90,9.17,overcast clouds
138,Rapid Valley,US,44.06,-103.15,42.8,75,1,6.93,clear sky
139,Qaanaaq,GL,77.48,-69.36,-12.24,72,0,5.19,clear sky
140,Necochea,AR,-38.55,-58.74,73.0,62,2,5.99,clear sky
141,Tiksi,RU,71.69,128.87,-7.94,91,46,2.39,scattered clouds
142,Verkhoyansk,RU,67.54,133.38,-24.7,82,96,1.66,overcast clouds
143,Kamenka,RU,51.32,42.77,43.0,88,98,10.94,overcast clouds
144,Nanortalik,GL,60.14,-45.24,34.25,86,100,9.84,overcast clouds
145,Sayat,TM,38.78,63.88,71.6,13,75,6.93,haze
146,Ossora,RU,59.24,163.07,27.91,90,84,6.69,broken clouds
147,Neiafu,TO,-18.65,-173.98,73.4,73,20,5.82,few clouds
148,Gat,IL,31.61,34.76,71.01,68,100,4.47,overcast clouds
149,Longyearbyen,SJ,78.22,15.64,33.8,74,75,6.93,broken clouds
150,Husavik,IS,66.04,-17.34,42.8,56,75,17.22,broken clouds
151,Bambous Virieux,MU,-20.34,57.76,73.99,83,40,8.05,smoke
152,Guerrero Negro,MX,27.98,-114.06,67.95,68,97,8.25,overcast clouds
153,Wenling,CN,28.37,121.36,65.66,63,91,6.02,overcast clouds
154,Vung Tau,VN,10.35,107.08,80.62,82,6,17.45,clear sky
155,Bathsheba,BB,13.22,-59.52,86.0,74,40,14.99,scattered clouds
156,Antoniny,UA,49.81,26.88,45.81,92,10,4.59,clear sky
157,Senekal,ZA,-28.32,27.62,80.2,29,0,7.76,clear sky
158,Kilindoni,TZ,-7.91,39.67,80.1,80,78,10.58,light rain
159,Rayong,TH,12.83,101.43,82.0,78,20,4.7,few clouds
160,Naze,JP,28.37,129.48,77.0,88,90,9.17,overcast clouds
161,Ostrovnoy,RU,68.05,39.51,33.85,91,56,12.06,broken clouds
162,Vohibinany,MG,-17.35,49.03,67.87,86,100,0.76,overcast clouds
163,Phibun Mangsahan,TH,15.24,105.23,75.2,78,0,11.41,clear sky
164,Hazorasp,UZ,41.32,61.07,59.0,29,54,11.41,broken clouds
165,Buala,SB,-8.14,159.59,79.65,76,53,2.39,broken clouds
166,Isangel,VU,-19.55,169.27,76.33,84,4,6.31,clear sky
167,Puerto Ayora,EC,-0.74,-90.35,73.4,73,75,11.41,broken clouds
168,The Valley,AI,18.22,-63.06,86.0,70,20,14.99,few clouds
169,Basak,PH,6.73,124.15,73.08,93,100,4.05,overcast clouds
170,Castro,BR,-24.79,-50.01,80.04,32,0,1.83,clear sky
171,Golub-Dobrzyn,PL,53.11,19.05,51.01,96,11,1.01,few clouds
172,Marrakesh,MA,31.63,-8.01,75.2,47,20,5.82,few clouds
173,Murgab,TM,37.5,61.97,69.8,30,20,9.17,few clouds
174,Dicabisagan,PH,17.08,122.42,77.81,90,99,6.15,overcast clouds
175,Esperance,AU,-33.87,121.9,58.33,88,89,8.28,overcast clouds
176,Kudahuvadhoo,MV,2.67,72.89,84.29,68,32,6.11,scattered clouds
177,Matagami,CA,49.75,-77.63,32.0,94,90,3.36,overcast clouds
178,Krasnoselkup,RU,65.7,82.47,31.37,99,100,10.89,overcast clouds
179,Navrongo,GH,10.9,-1.09,96.33,11,1,2.08,clear sky
180,Ullapool,GB,57.9,-5.16,48.0,68,48,5.99,scattered clouds
181,Chuy,UY,-33.7,-53.46,70.48,69,25,13.2,light rain
182,Rundu,NA,-17.93,19.77,95.16,18,50,13.47,scattered clouds
183,Sinop,TR,41.77,34.87,48.2,80,83,3.11,broken clouds
184,Terrace Bay,CA,48.78,-87.1,39.2,93,90,5.82,mist
185,Marshfield,US,44.67,-90.17,62.01,77,1,13.87,clear sky
186,Yuksekova,TR,37.57,44.29,50.0,87,75,4.7,broken clouds
187,Half Moon Bay,US,37.46,-122.43,50.0,87,20,5.82,mist
188,Qandala,SO,11.47,49.87,78.98,71,27,8.59,scattered clouds
189,Lasa,IT,46.62,10.7,52.0,61,5,5.82,clear sky
190,Oistins,BB,13.07,-59.53,86.0,74,40,14.99,scattered clouds
191,Oranjemund,NA,-28.55,16.43,65.08,80,10,10.65,clear sky
192,Sainte-Marie,RE,-20.9,55.55,73.4,73,75,11.41,broken clouds
193,Port Huron,US,42.97,-82.42,61.0,71,1,10.29,clear sky
194,Coquimbo,CL,-29.95,-71.34,55.4,87,90,8.05,overcast clouds
195,Saint Anthony,US,45.02,-93.22,64.4,72,1,14.99,clear sky
196,Xining,CN,36.62,101.77,34.12,74,0,1.63,clear sky
197,Fomboni,KM,-12.28,43.74,81.05,72,16,7.45,few clouds
198,Hofn,IS,64.25,-15.21,40.82,71,61,8.81,broken clouds
199,Butaritari,KI,3.07,172.79,80.51,76,100,11.99,overcast clouds
200,Port Hardy,CA,50.7,-127.42,42.8,75,20,11.41,few clouds
201,Kalemie,CD,-5.95,29.19,76.91,74,40,3.65,light rain
202,Petatlan,MX,17.52,-101.27,82.4,74,5,2.98,clear sky
203,Moose Factory,CA,51.26,-80.61,32.0,86,75,6.93,broken clouds
204,Mahebourg,MU,-20.41,57.7,73.4,83,40,8.05,smoke
205,Cairns,AU,-16.92,145.77,78.8,78,75,4.7,broken clouds
206,Sao Joao Da Barra,BR,-21.64,-41.05,80.6,57,75,4.7,broken clouds
207,Pavilosta,LV,56.89,21.19,50.0,100,77,16.11,broken clouds
208,Komsomolskiy,UZ,40.43,71.72,50.0,43,92,6.93,mist
209,Mora,CM,11.05,14.14,93.2,20,0,3.36,clear sky
210,Mehamn,NO,71.04,27.85,38.23,85,95,34.9,overcast clouds
